house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
2 BHK Independent Floor,"1,500 sq ft",Sector 22,Kolkata,28.50890732,77.0664978,35000,INR,2,Posted 2 months ago,"This is a modern and stylish home available for affordable rent in Gurgaon. It is a 2 BHK Independent Floor situated at Sector 22. Designed to meet your lifestyle needs, the Independent Floor provides a range of modern amenities for the comfort of the residents. It is fully furnished. Modern home seekers will experience a comfortable living in this 2 BHK property. The Independent Floor is on 2 floor, and the total number of floors is 3. The 2 BHK unit is elegantly designed to meet your housing needs. The Independent Floor has 2 bedrooms. It has 2 bathroom. The 2 BHK unit also includes 2 balcony giving splendid views of the surroundings. The built-up area of the Independent Floor is 1500 square_feet. The carpet area is 1500 square_feet. The monthly rent for the Independent Floor is Rs 35000. The security deposit is Rs 35000. Project Highlights The developer also offers 2 BHK units as a part of this project. The locality Sector 22 enjoys good connectivity and convenience in terms of a well-developed social infrastructure",No Deposit,Furnished
3 BHK Apartment,"1,050 sq ft",Haltu,Kolkata,22.50100899,88.39660645,17000,INR,2,Posted 2 months ago,"Well designed 3 bhk multistorey apartment is available at a prime location in Haltu. It has area of 1050 sqft and is available at a rent of Rs. 17,000. It is an unfurnished property. It is facing southeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Unfurnished
3 BHK Apartment,"1,455 sq ft",New Town,Kolkata,22.57775879,88.46337128,35000,INR,2,Posted 2 days ago,"A 3 bhk property is available for rent in New Town, Kolkata. It has area of 1455 sqft and is available at a rent of Rs. 35,000. It is a furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Furnished
3 BHK Apartment,"1,200 sq ft",Rajarhat,Kolkata,22.62626457,88.49173737,30000,INR,3,Posted 2 days ago,"Itâs a 3 bhk multistorey apartment situated in Siddha Group Happyville, Rajarhat. It has a built-up area of 1200 sqft and is available for rent at Rs. 30,000 per month . It is an unfurnished property. This residential property is ready-to-move-in. It is well connected to the city areas. If you are interested, please contact us for more details. ","60,000",Unfurnished
3 BHK Apartment,"1,100 sq ft",Kasba,Kolkata,22.51761818,88.38404846,27000,INR,2,Posted a month ago,"A spacious 3 bhk multistorey apartment is available for rental in Kasba Green View, Kasba, Kolkata. It has an area of 1100 sqft . The property is available at a monthly rental of Rs. 27,000 . It is a semi-furnished property. Its main door is facing southeast direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,257 sq ft",New Town,Kolkata,22.56580734,88.51698303,25000,INR,2,Posted 3 days ago,"Itâs a 2 bhk multistorey apartment situated in DLF New Town Heights, New Town, Kolkata. It has a built-up area of 1257 sqft and is available for rent at Rs. 25,000 per month . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,900 sq ft,Rajarhat,Kolkata,22.63259888,88.45001984,12000,INR,2,Posted a month ago,"Itâs a 2 bhk multistorey apartment situated in Rajarhat. It has an area of 900 sqft . The property is available at a monthly rental of Rs. 12,000 . The house is unfurnished. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. ",No Deposit,Unfurnished
3 BHK Apartment,"1,400 sq ft",Kasba,Kolkata,22.51975632,88.38336182,20000,INR,2,Posted a year ago,"It has an area of 1400 sqft with a carpet area of 1200 sqft . The property is available at a monthly rental of Rs. 20,000 . It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Unfurnished
2 BHK Apartment,810 sq ft,Sodepur,Kolkata,22.7081604,88.37786102,12000,INR,2,Posted 2 months ago,"It has area of 810 sqft and is available at a rent of Rs. 12,000. The house is semi-furnished. Its main door is facing east direction. It is a 11 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,150 sq ft",Santoshpur,Kolkata,22.49136543,88.38719177,11500,INR,2,Posted 2 days ago,"Itâs a 3 bhk multistorey apartment situated in Santoshpur. It has an area of 1150 sqft . The property is available at a monthly rental of Rs. 11,500 . It is a semi-furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,220 sq ft",New Town,Kolkata,22.58552933,88.47067261,18500,INR,2,Posted 2 days ago,"This spacious 3 bhk multistorey apartment is available for rental and is located in Ambey Group Enclave, one of the most prestigious projects of New Town. The house is unfurnished. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Unfurnished
