house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
2 BHK Independent House,550 sq ft,Jayanagar,Bangalore,12.9220438,77.5887146,13500,INR,1,Posted 3 years ago,"It has a built-up area of 550 sqft and is available for rent at Rs. 13,500 per month . It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Furnished
3 BHK Apartment,"1,655 sq ft",Parappana Agrahara,Bangalore,12.88674545,77.65969086,25000,INR,3,Posted 3 years ago,"Well designed 3 bhk multistorey apartment is available at a prime location in Parappana Agrahara. It has area of 1655 sqft and is available at a rent of Rs. 25,000. It is a semi-furnished property. It is a 5 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ",No Deposit,Semi-Furnished
2 BHK Independent House,"1,250 sq ft",Agrahara,Bangalore,13.07662964,77.61579132,10000,INR,2,Posted 3 years ago,"It is a semi-furnished property. It is a 2 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Semi-Furnished
4 BHK Villa,"4,900 sq ft",Devanahalli,Bangalore,13.20499897,77.63859558,75000,INR,4,Posted 3 years ago,"Itâs a 4 bhk villa situated in Preeti Developers Bangalore Mulberry Meadows, Devanahalli. It has area of 4900 sqft and is available at a rent of Rs. 75,000. It is a semi-furnished property. It has club house as well as swimming pool. The project also has children's play area, intercom, gymnasium and power backup. Its main door is facing east direction. It is a 8 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,300 sq ft",Hennur,Bangalore,13.03556347,77.64611053,27000,INR,2,Posted 3 years ago,"A 2 bhk property is available for rental in Mantri Group Astra, Hennur, Bangalore. It has a built-up area of 1300 sqft and is available for rent at Rs. 27,000 per month . The house is semi-furnished. Its main door is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",No Deposit,Semi-Furnished
2 BHK Independent House,900 sq ft,Nagarbhavi,Bangalore,12.96889114,77.51194763,10000,INR,1,Posted 3 years ago,"Itâs a 2 bhk independent house situated in Nagarbhavi, Bangalore. It has an area of 900 sqft with a carpet area of 700 sqft . The property is available at a monthly rental of Rs. 10,000 . It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment,500 sq ft,Whitefield,Bangalore,12.96673203,77.73162079,13500,INR,1,Posted 3 years ago,"Itâs a 1 bhk multistorey apartment situated in Whitefield, Bangalore. It has area of 500 sqft and is available at a rent of Rs. 13,500. The house is semi-furnished. It is a 4 year old ready-to-move-in property. It is made in way to provide a comfortable living. ",No Deposit,Semi-Furnished
2 BHK Apartment,650 sq ft,Whitefield,Bangalore,12.97571278,77.75932312,23000,INR,1,Posted 3 years ago,"Itâs a 2 bhk multistorey apartment situated in Whitefield, Bangalore. It has an area of 650 sqft with a carpet area of 540 sqft . The property is available at a monthly rental of Rs. 23,000 . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",No Deposit,Furnished
2 BHK Independent House,"1,100 sq ft",Bendre Nagar,Bangalore,12.91406536,77.56312561,17000,INR,2,Posted 3 years ago,"A spacious 2 bhk independent house is available for rental in Bendre Nagar, Bangalore. It has an area of 1100 sqft with a carpet area of 1000 sqft . The property is available at a monthly rental of Rs. 17,000 . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. ",No Deposit,Semi-Furnished
2 BHK Apartment,750 sq ft,judicial layout,Bangalore,13.07914352,77.58961487,14000,INR,null,Posted 3 years ago,"Itâs a 2 bhk multistorey apartment situated in judicial layout, Bangalore. It has area of 750 sqft and is available at a rent of Rs. 14,000. It is a semi-furnished property. This residential property is ready-to-move-in. It is well connected to the city areas. ",No Deposit,Semi-Furnished
2 BHK Independent House,650 sq ft,hebbal kempapura,Bangalore,13.04896164,77.59541321,20000,INR,2,Posted 3 years ago,This spacious 2 bhk independent house is available for rental and is located in the heart of hebbal kempapura. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Contact us for more details.,No Deposit,Semi-Furnished
2 BHK Independent Floor,900 sq ft,Rayasandra,Bangalore,12.87022495,77.66262054,13000,INR,2,Posted 3 years ago,"A spacious 2 bhk builder floor is available for rental in Rayasandra, Bangalore. It has area of 900 sqft and is available at a rent of Rs. 13,000. The house is semi-furnished. It is made in way to provide a comfortable living. It is well connected to the city areas. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment,700 sq ft,RR Nagar,Bangalore,12.89845562,77.52218628,10000,INR,2,Posted 3 years ago,"It has a built-up area of 700 sqft and is available for rent at Rs. 10,000 per month . It is an unfurnished property. It is facing west direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",No Deposit,Unfurnished
3 BHK Independent House,"2,000 sq ft",Banashankari,Bangalore,12.92404747,77.56694031,42000,INR,3,Posted 2 months ago,"This spacious 3 bhk independent house is available for rental and is located in the heart of Banashankari. It has an area of 2000 sqft with a carpet area of 1750 sqft . The property is available at a monthly rental of Rs. 42,000 . It is a semi-furnished property. It is north facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment,550 sq ft,Jogupalya,Bangalore,12.96865368,77.62865448,26000,INR,1,Posted a month ago,"This spacious 1 bhk multistorey apartment is available for rental and is located in Cambridge Apartments, one of the most prestigious projects of Jogupalya. It has a built-up area of 550 sqft and is available for rent at Rs. 26,000 per month . It is a semi-furnished property. It is a 4 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. Contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Independent Floor,"1,200 sq ft",Begur,Bangalore,12.88215065,77.6280899,16500,INR,2,Posted 24 days ago,"It has a built-up area of 1200 sqft and is available for rent at Rs. 16,500 per month . It is a semi-furnished property. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Kindly call us for details. ",No Deposit,Semi-Furnished
2 BHK Independent Floor,"1,400 sq ft",Koramangala,Bangalore,12.93295193,77.63721466,35000,INR,2,Posted 8 days ago,"Itâs a 2 bhk builder floor situated in Koramangala, Bangalore. It has a built-up area of 1400 sqft and is available for rent at Rs. 35,000 per month . It is a semi-furnished property. It is facing east direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Independent House,"1,000 sq ft",HSR Layout,Bangalore,12.91267967,77.64730072,34000,INR,2,Posted 8 days ago,Well designed 2 bhk independent house is available at a prime location in HSR Layout. The house is semi-furnished. It is north facing property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Kindly call us for details.,No Deposit,Semi-Furnished
3 BHK Villa,"3,544 sq ft",Anagalapura Near Hennur Main Road,Bangalore,13.06894112,77.69055176,79700,INR,4,Posted 3 days ago,"A spacious 3 bhk villa is available for rental in Prestige Group Augusta Golf Village, Anagalapura Near Hennur Main Road, Bangalore. It has an area of 3544 sqft with a carpet area of 3000 sqft . The property is available at a monthly rental of Rs. 79,700 . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"2,408 sq ft",Thanisandra Main Road Kothnu,Bangalore,13.08241081,77.63873291,38300,INR,3,Posted 3 days ago,"A 3 bhk property is available for rental in Bhartiya Nikoo Homes, Thanisandra Main Road, Bangalore. It is a 6 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. Contact us for more details. ",No Deposit,Semi-Furnished
5 BHK Independent House,"5,000 sq ft",Harlur,Bangalore,12.89901066,77.66005707,130200,INR,5,Posted 3 days ago,"This spacious 5 bhk independent house is available for rental and is located in the heart of Harlur. It is a semi-furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,140 sq ft",Horamavu,Bangalore,13.04052353,77.65207672,28000,INR,2,Posted 2 days ago,"Itâs a 2 bhk multistorey apartment situated in Spacios Builders Swaraj Residency, Horamavu. It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Independent Floor,"1,200 sq ft",Electronic City Phase 1,Bangalore,12.90767574,77.64868164,32000,INR,1,Posted 3 days ago,"Itâs a 1 bhk builder floor situated in Sai Balaji Builders Banglore Elite, Electronic City Phase 1. It has area of 1200 sqft and is available at a rent of Rs. 32,000. The house is furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Furnished
3 BHK Apartment,"1,450 sq ft",HSR Layout,Bangalore,12.9052,77.64768982,45000,INR,2,Posted 2 days ago,"A 3 bhk property is available for rental in Swaraj Homes Dream Homes Harmony, HSR Layout, Bangalore. It has a built-up area of 1450 sqft and is available for rent at Rs. 45,000 per month . This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Kindly call us for details. ",No Deposit,Semi-Furnished
