house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
3 BHK Apartment,"1,500 sq ft",Egmore,Chennai,13.07322598,80.26091766,35000,INR,3,Posted 2 days ago,"It has area of 1500 sqft and is available at a rent of Rs. 35,000. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. "," 2,10,000",Semi-Furnished
2 BHK Independent House,"1,000 sq ft",Koyambedu,Chennai,13.0623951,80.20890045,15000,INR,2,Posted 3 years ago,"Well designed 2 bhk independent house is available at a prime location in Koyambedu. It is a semi-furnished property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor,"1,700 sq ft",Devendra Nagar,Chennai,21.25733948,81.64419556,30000,INR,2,Posted 10 hours ago,"This spacious 3 bhk builder floor is available for rental and is located in the heart of Devendra Nagar. It has area of 1700 sqft and is available at a rent of Rs. 30,000. It is a 5 year old ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Kindly call us for details. ",No Deposit,Furnished
2 BHK Independent House,900 sq ft,Neelankarai,Chennai,12.95688438,80.24995422,29500,INR,2,Posted 3 years ago,"This spacious 2 bhk independent house is available for rental and is located in the heart of Neelankarai. It has a built-up area of 900 sqft and is available for rent at Rs. 29,500 per month . It is a semi-furnished property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,640 sq ft,Mangadu,Chennai,13.02162838,80.10813141,14000,INR,2,Posted a month ago,"A spacious 2 bhk multistorey apartment is available for rental in Mangadu, Chennai. It has an area of 640 sqft . The property is available at a monthly rental of Rs. 14,000 . Its main door is facing west direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Unfurnished
3 BHK Apartment,"1,250 sq ft",Gopalapuram,Chennai,13.05052662,80.25761414,38000,INR,2,Posted 3 years ago,Well designed 3 bhk multistorey apartment is available at a prime location in Gopalapuram. The house is semi-furnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas.,No Deposit,Semi-Furnished
2 BHK Apartment,"1,250 sq ft",Ambattur,Chennai,21.19560623,72.79651642,17000,INR,2,Posted 3 years ago,"It has a built-up area of 1250 sqft and is available for rent at Rs. 17,000 per month . The house is furnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",No Deposit,Furnished
2 BHK Apartment,"1,100 sq ft",Aminjikarai,Chennai,13.06987572,80.22454071,45000,INR,2,Posted 2 years ago,"A spacious 2 bhk multistorey apartment is available for rental in Aminjikarai, Chennai. It has an area of 1100 sqft with a carpet area of 1000 sqft . The property is available at a monthly rental of Rs. 45,000 . The house is furnished. It has 1 tv, 1 refrigerator, 1 sofa and 1 sofa. It also has 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Kindly call us for details. ",No Deposit,Furnished
2 BHK Apartment,"1,340 sq ft",Iyappanthangal,Chennai,13.04168606,80.1313324,28000,INR,2,Posted a month ago,"It’s a 2 bhk multistorey apartment situated in Prestige Group Bella Vista, Iyappanthangal, Chennai. It has an area of 1340 sqft with a carpet area of 1300 sqft . The property is available at a monthly rental of Rs. 28,000 . The house is semi-furnished. It has intercom. Other amenities include club house, power backup, children's play area, community hall, swimming pool, gated community, gymnasium, cctv and lift available. It is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,950 sq ft,Kotivakkam,Chennai,12.93814945,80.23806763,18000,INR,2,Posted 4 days ago,"A 2 bhk property is available for rent in Kotivakkam, Chennai. The house is semi-furnished. It is a 6 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Please contact us for more details. ",No Deposit,Semi-Furnished
