house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
2 BHK Apartment,650 sq ft,Prabhadevi,Mumbai,19.01498032,72.82868195,90000,INR,2,Posted 2 months ago,"A spacious 2 bhk multistorey apartment is available for rental in Prabhadevi, Mumbai. It has area of 650 sqft and is available at a rent of Rs. 90,000. It is a semi-furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",No Deposit,Semi-Furnished
1 BHK Apartment,615 sq ft,Ghatkopar East,Mumbai,19.07976341,72.90843964,30000,INR,1,Posted a month ago,"It is a semi-furnished property. It has 1 refrigerator, 1 sofa, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is northeast facing property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,075 sq ft",Chembur,Mumbai,19.04731178,72.89689636,68000,INR,2,Posted a month ago,"Itâs a 2 bhk multistorey apartment situated in Chembur, Mumbai. It has an area of 1075 sqft with a carpet area of 826 sqft . The property is available at a monthly rental of Rs. 68,000 . The house is unfurnished. It is northeast facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Unfurnished
2 BHK Apartment,900 sq ft,Kandivali East,Mumbai,19.19936562,72.87325287,47000,INR,2,Posted 10 days ago,"It has a built-up area of 900 sqft and is available for rent at Rs. 47,000 per month . It is a furnished property. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It has gymnasium as well as club house. The project also has lift available and intercom. It is facing northeast direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",No Deposit,Furnished
1 BHK Apartment,550 sq ft,Goregaon East,Mumbai,19.15259552,72.8908844,27000,INR,1,Posted 10 days ago,"This spacious 1 bhk multistorey apartment is available for rental and is located in the heart of Goregaon East. It has an area of 550 sqft . The property is available at a monthly rental of Rs. 27,000 . The house is furnished. It is facing east direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Furnished
2 BHK Apartment,900 sq ft,Andheri East,Mumbai,19.11651802,72.8895874,50000,INR,2,Posted 20 days ago,"It has area of 900 sqft and is available at a rent of Rs. 50,000. The house is furnished. It is a 23 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. ",No Deposit,Furnished
2 BHK Apartment,960 sq ft,Badlapur East,Mumbai,19.15496826,73.23058319,9000,INR,2,Posted 13 days ago,"A spacious 2 bhk multistorey apartment is available for rental in Badlapur East, Mumbai. The house is semi-furnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,150 sq ft",Powai,Mumbai,19.11580086,72.91095734,115000,INR,2,Posted 4 days ago,"This spacious 2 bhk multistorey apartment is available for rental and is located in Hiranandani Developers Glen Croft, one of the most prestigious projects of Powai. It has an area of 1150 sqft with a carpet area of 880 sqft . The property is available at a monthly rental of Rs. 1.15 lac . The house is semi-furnished. It has 1 sofa, 1 sofa, 1 ac and 1 bed. Its main door is facing east direction. It is a 18 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,767 sq ft,Thane West,Mumbai,19.2462101,72.9810257,21000,INR,2,Posted 2 days ago,"It has area of 767 sqft and is available at a rent of Rs. 21,000. It is an unfurnished property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",No Deposit,Unfurnished
1 BHK Apartment,700 sq ft,Thane West,Mumbai,19.25082397,72.97979736,28000,INR,1,Posted 2 days ago,"Well designed 1 bhk multistorey apartment is available at a prime location in Hiranandani Developers Solitaire. It has a built-up area of 700 sqft and is available for rent at Rs. 28,000 per month . The house is semi-furnished. It is a 2 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,000 sq ft",Thane West,Mumbai,19.23263168,72.97174835,35000,INR,2,Posted 2 days ago,"Itâs a 2 bhk multistorey apartment situated in ACME Group Ozone Phase 2, Thane West, Mumbai. It has a built-up area of 1000 sqft and is available for rent at Rs. 35,000 per month . The house is semi-furnished. It is a 6 year old ready-to-move-in property. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,600 sq ft",Nerul,Mumbai,19.01296425,73.02244568,85000,INR,3,Posted 2 days ago,"Well designed 3 bhk multistorey apartment is available at a prime location in Balaji Heights. It is a semi-furnished property. It is a 4 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. "," 3,00,000",Semi-Furnished
2 BHK Apartment,"1,200 sq ft",Thane West,Mumbai,19.21407127,72.97883606,30000,INR,2,Posted 2 days ago,"A spacious 2 bhk multistorey apartment is available for rental in SD Bhalerao Jaydeep Park, Thane West, Mumbai. It has an area of 1200 sqft with a carpet area of 725 sqft . The property is available at a monthly rental of Rs. 30,000 . It is a semi-furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",No Deposit,Semi-Furnished
1 BHK Apartment,678 sq ft,Andheri East,Mumbai,19.11601639,72.88690186,38000,INR,2,Posted 2 days ago,"Itâs a 1 bhk multistorey apartment situated in Manavsthal Height, Andheri East. It is a semi-furnished property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,800 sq ft,Andheri West,Mumbai,19.13805008,72.82532501,70000,INR,2,Posted 2 days ago,"Itâs a 2 bhk multistorey apartment situated in Andheri West, Mumbai. It has a built-up area of 800 sqft and is available for rent at Rs. 70,000 per month . It is a 8 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,000 sq ft",Airoli,Mumbai,19.16061401,72.99222565,44000,INR,2,Posted 2 days ago,"This spacious 2 bhk multistorey apartment is available for rental and is located in the heart of Airoli. It has area of 1000 sqft and is available at a rent of Rs. 44,000. The house is furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ",No Deposit,Furnished
2 BHK Apartment,"1,100 sq ft",Kandivali East,Mumbai,19.20843887,72.86295319,50000,INR,2,Posted 2 days ago,"This spacious 2 bhk multistorey apartment is available for rental and is located in Thakur Group Mahadev Tower, one of the most prestigious projects of Kandivali East. It has a built-up area of 1100 sqft and is available for rent at Rs. 50,000 per month . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. ",No Deposit,Semi-Furnished
1 BHK Apartment,700 sq ft,Kalyan East,Mumbai,19.22224045,73.12219238,13000,INR,2,Posted 2 days ago,"It has an area of 700 sqft with a carpet area of 450 sqft . The property is available at a monthly rental of Rs. 13,000 . The house is unfurnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living. Please contact us for more details. ",No Deposit,Unfurnished
1 BHK Apartment,600 sq ft,Mulund East,Mumbai,19.1653862,72.95865631,32000,INR,2,Posted 2 days ago,"This spacious 1 bhk multistorey apartment is available for rental and is located in Amardeep Construction Anutham, one of the most prestigious projects of Mulund East. The house is unfurnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact for more details. ",No Deposit,Unfurnished
3 BHK Apartment,"2,500 sq ft",Powai,Mumbai,19.12324715,72.91307831,220000,INR,3,Posted 2 days ago,"Itâs a 3 bhk multistorey apartment situated in Lakefront Solitaire, Powai. It has a built-up area of 2500 sqft and is available for rent at Rs. 2.20 lac per month . It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. Please contact for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,000 sq ft",Andheri West,Mumbai,19.12613869,72.82546234,69000,INR,2,Posted 2 days ago,"Itâs a 2 bhk multistorey apartment situated in Andheri West, Mumbai. It has a built-up area of 1000 sqft and is available for rent at Rs. 69,000 per month . It is a 8 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Furnished
2 BHK Apartment,"1,400 sq ft",Kandivali East,Mumbai,19.20174217,72.87600708,58000,INR,2,Posted 2 days ago,"Well designed 2 bhk multistorey apartment is available at a prime location in Rajesh LifeSpaces Whitecity Phase 1 Wing A. It has a built-up area of 1400 sqft and is available for rent at Rs. 58,000 per month . The house is unfurnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Unfurnished
2 BHK Apartment,930 sq ft,Thane West,Mumbai,19.20784378,72.94931793,29000,INR,2,Posted 2 days ago,"Itâs a 2 bhk multistorey apartment situated in Vihang Group Shantivan, Thane West, Mumbai. The house is semi-furnished. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,950 sq ft,Chembur,Mumbai,19.04193306,72.90602112,50000,INR,2,Posted 2 days ago,"Itâs a 2 bhk multistorey apartment situated in Atharva Developers Dadar Pallavi Chhaya, Chembur. It has a built-up area of 950 sqft and is available for rent at Rs. 50,000 per month . It is an unfurnished property. It is made in way to provide a comfortable living. Please contact us for more details. ",No Deposit,Unfurnished
