house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
2 BHK Apartment,"1,270 sq ft",Jagatpur,Ahmedabad,23.11238861,72.54834747,19000,INR,2,Posted 2 days ago,"It’s a 2 bhk multistorey apartment situated in Jagatpur, Ahmedabad. The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. ","38,000",Semi-Furnished
3 BHK Apartment,"1,372 sq ft",Gota,Ahmedabad,23.1021595,72.54090118,20000,INR,3,Posted 4 days ago,"It has an area of 1372 sqft with a carpet area of 780 sqft . The property is available at a monthly rental of Rs. 20,000 . It is a semi-furnished property. It has children's play area as well as lift available. The project also has gymnasium, gated community, cctv, club house, community hall, swimming pool, intercom and power backup. It is northeast facing property. It is made in way to provide a comfortable living. Kindly call us for details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"2,720 sq ft",Chandkheda,Ahmedabad,23.11822891,72.58703613,45000,INR,3,Posted 2 months ago,"This spacious 3 bhk multistorey apartment is available for rental and is located in Sangath IPL Group Posh, one of the most prestigious projects of Chandkheda. It has an area of 2720 sqft with a carpet area of 1632 sqft . The property is available at a monthly rental of Rs. 45,000 . The house is furnished. Its main door is facing southeast direction. It is a 9 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. ",No Deposit,Furnished
3 BHK Apartment,"1,845 sq ft",Prahlad Nagar,Ahmedabad,23.01203346,72.51075745,55000,INR,3,Posted 12 days ago,"A spacious 3 bhk multistorey apartment is available for rental in Prahlad Nagar, Ahmedabad. It has a built-up area of 1845 sqft and is available for rent at Rs. 55,000 per month . The house is furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Furnished
2 BHK Apartment,"1,246 sq ft",Satellite,Ahmedabad,23.02703476,72.51159668,16000,INR,2,Posted 3 days ago,"It’s a 2 bhk multistorey apartment situated in Satellite, Ahmedabad. It has a built-up area of 1246 sqft and is available for rent at Rs. 16,000 per month . It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",No Deposit,Unfurnished
3 BHK Apartment,"2,150 sq ft",Shela,Ahmedabad,23.00987053,72.46811676,37000,INR,1,Posted 4 days ago,"A 3 bhk property is available for rental in GSG Abode LLP Orchid Sky, Shela, Ahmedabad. It has an area of 2150 sqft with a carpet area of 1500 sqft . The property is available at a monthly rental of Rs. 37,000 . The house is furnished. It is northwest facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Furnished
2 BHK Apartment,"1,200 sq ft",Vastrapur,Ahmedabad,23.04133415,72.52548218,21000,INR,1,Posted 4 days ago,"A 2 bhk property is available for rental in Chinmay Crystal, Vastrapur, Ahmedabad. It has a built-up area of 1200 sqft and is available for rent at Rs. 21,000 per month . It is a semi-furnished property. Its main door is facing southeast direction. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
4 BHK Apartment,"2,600 sq ft",Ellisbridge,Ahmedabad,28.55867767,77.06145477,48000,INR,4,Posted a day ago,"Well designed 4 bhk multistorey apartment is available at a prime location in Mahavir Apartment. It has area of 2600 sqft and is available at a rent of Rs. 48,000. It is a semi-furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ","96,000",Semi-Furnished
4 BHK Independent House,"5,200 sq ft",Thaltej,Ahmedabad,23.05323982,72.50070953,180000,INR,4,Posted 3 days ago,It’s a 4 bhk independent house situated in Thaltej. It has an area of 5200 sqft . The property is available at a monthly rental of Rs. 1.80 lac . The house is furnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents.,No Deposit,Furnished
2 BHK Apartment,"1,400 sq ft",Ranip,Ahmedabad,12.90719891,77.57668304,27000,INR,2,Posted 17 days ago,"A spacious 2 bhk multistorey apartment is available for rental in Ganesh Developers Homes, Ranip, Ahmedabad. It has an area of 1400 sqft with a carpet area of 1200 sqft . The property is available at a monthly rental of Rs. 27,000 . The house is semi-furnished. It has cctv as well as full power backup. The project also has lift available. It is north facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,860 sq ft",Gota,Ahmedabad,23.1031208,72.53625488,23000,INR,1,Posted 2 months ago,"A 3 bhk property is available for rent in Gota, Ahmedabad. It has area of 1860 sqft and is available at a rent of Rs. 23,000. It is a semi-furnished property. It has club house as well as lift available. The project also has gymnasium. It is facing south direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",No Deposit,Semi-Furnished
5 BHK Independent House,"5,400 sq ft",Thaltej,Ahmedabad,23.04272842,72.48658752,175000,INR,1,Posted 3 days ago,Well designed 5 bhk independent house is available at a prime location in Thaltej. It has a built-up area of 5400 sqft and is available for rent at Rs. 1.75 lac per month . This residential property is ready-to-move-in. The site is in close proximity to various civic utilities. Please contact us for more details.,No Deposit,Furnished
3 BHK Apartment,"1,440 sq ft",South Bopal,Ahmedabad,23.01749611,72.47476196,26000,INR,1,Posted a month ago,"A 3 bhk property is available for rent in South Bopal, Ahmedabad. It has a built-up area of 1440 sqft and is available for rent at Rs. 26,000 per month . It is a furnished property. It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It has power backup as well as lift available. The project also has gymnasium. Its main door is facing southeast direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Furnished
3 BHK Apartment,"1,985 sq ft",Shela,Ahmedabad,23.01225281,72.47125244,30000,INR,3,Posted 3 years ago,"Well designed 3 bhk multistorey apartment is available at a prime location in Goyal And Co Hariyana Group Orchid Heaven. It has a built-up area of 1985 sqft and is available for rent at Rs. 30,000 per month . It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It has swimming pool as well as club house. The project also has lift available and children's play area. It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ",No Deposit,Furnished
3 BHK Apartment,"1,730 sq ft",Gota,Ahmedabad,23.10358429,72.5480957,18000,INR,3,Posted 2 years ago,"It has a built-up area of 1730 sqft and is available for rent at Rs. 18,000 per month . The house is unfurnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",No Deposit,Unfurnished
3 BHK Apartment,"1,850 sq ft",Vasna,Ahmedabad,23.01155472,72.52820587,50000,INR,1,Posted 2 years ago,"This spacious 3 bhk multistorey apartment is available for rental and is located in Deep Group Of Companies Indraprasth Greens, one of the most prestigious projects of Vasna. It has area of 1850 sqft and is available at a rent of Rs. 50,000. It is a furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Furnished
2 BHK Apartment,"1,250 sq ft",Thaltej,Ahmedabad,23.05323982,72.50070953,25000,INR,2,Posted 2 days ago,"It’s a 2 bhk multistorey apartment situated in Thaltej. It has an area of 1250 sqft with a carpet area of 950 sqft . The property is available at a monthly rental of Rs. 25,000 . It is a furnished property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Kindly call us for details. ",No Deposit,Furnished
3 BHK Villa,550 sq ft,Sanand,Ahmedabad,23.01516151,72.38440704,65000,INR,4,Posted 2 days ago,"Well designed 3 bhk villa is available at a prime location in Navratna Kalhaar Blues and Greens. It has area of 550 sqft and is available at a rent of Rs. 65,000. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,850 sq ft",Vejalpur,Ahmedabad,22.99835587,72.51831818,30000,INR,2,Posted 11 days ago,"A 2 bhk property is available for rental in Santosh Associates Om Shantinagar 1, Vejalpur, Ahmedabad. It is a furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Furnished
3 BHK Apartment,"1,650 sq ft",Bopal,Ahmedabad,23.03263855,72.46447754,17000,INR,3,Posted 2 years ago,"This spacious 3 bhk multistorey apartment is available for rental and is located in the heart of Bopal. It has a built-up area of 1650 sqft and is available for rent at Rs. 17,000 per month . It is a semi-furnished property. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",No Deposit,Semi-Furnished
